item_number,domain_tag,domain_label,label_set,reverse_scored,question_text,example_text,option_0,option_3,option_5,option_8,option_10,changed_in_v2
13,PRESENCE,Presence,frequency,FALSE,"In high-stress moments, do you stay calm enough that others look to you for direction?",being the steady one when everyone else is panicking,Not me at all,Occasionally,About half the time,Most of the time,Consistently — it's how I operate,FALSE
14,PRESENCE,Presence,frequency,TRUE,"When pressure suddenly spikes, do others notice you visibly lose your composure?","your voice, face, or hands giving it away",Not me at all,Occasionally,About half the time,Most of the time,Consistently — it's how I operate,FALSE
15,PURPOSE,Purpose,frequency,FALSE,Do your daily actions actually line up with what you say matters most to you?,your calendar reflecting your stated priorities,Not me at all,Occasionally,About half the time,Most of the time,Consistently — it's how I operate,FALSE
16,PURPOSE,Purpose,frequency,FALSE,Does a clear sense of purpose guide your big decisions?,"choosing a path because it fits your bigger why, not just what's easiest",Not me at all,Occasionally,About half the time,Most of the time,Consistently — it's how I operate,FALSE
17,EXECUTION,Execution,frequency,FALSE,"Do you finish what you start, even after the initial excitement wears off?",still showing up once the novelty fades,Not me at all,Occasionally,About half the time,Most of the time,Consistently — it's how I operate,FALSE
18,EXECUTION,Execution,frequency,FALSE,"Do you close loops quickly, or do things linger half-done for weeks?",that email that's been “almost done” for a month,Not me at all,Occasionally,About half the time,Most of the time,Consistently — it's how I operate,FALSE
19,LIFE ANCHORS,Life Anchors,satisfaction,FALSE,"Overall, how satisfied are you with your life right now?","thinking about work, relationships, and health together",Not at all satisfied,Slightly satisfied,Moderately satisfied,Very satisfied,Completely satisfied,TRUE
20,LIFE ANCHORS,Life Anchors,morning-count,FALSE,"Out of the last 14 mornings, how many did you wake up already knowing your top priority for the day? (10 = 14 of 14)",,None of them,A few of them,About half (7 of 14),Most of them,All 14,TRUE
21,LIFE ANCHORS,Life Anchors,confidence,FALSE,How confident are you that the next 12 months are headed where you want them to go?,,Not confident at all,Slightly confident,Somewhat confident,Fairly confident,Extremely confident,TRUE
22,AI ORCHESTRATION INDEX,AI Orchestration Index,ai-use,FALSE,"Q-AI: Do you hand real work to AI and direct it like a team member, not just ask it questions?","assigning it a task with a goal, not a one-off question",Never,Tried it,Sometimes,Regularly — part of how I work,It's simply how I work,FALSE
23,AI ORCHESTRATION INDEX,AI Orchestration Index,ai-use,FALSE,Can you tell when to trust an AI's output and when you need to verify it yourself?,"double-checking a number before you use it, not everything",Never,Tried it,Sometimes,Regularly — part of how I work,It's simply how I work,FALSE
24,AI ORCHESTRATION INDEX,AI Orchestration Index,ai-use,FALSE,"Do you use AI weekly in your actual work, not just to experiment with it?",,Never,Tried it,Sometimes,Regularly — part of how I work,It's simply how I work,FALSE
25,AI ORCHESTRATION INDEX,AI Orchestration Index,net-benefit,FALSE,"Does AI genuinely save you time and effort, or does keeping up with it cost you more than it gives back?","fewer hours spent vs. more prompts, tools, and outputs to check",Costs me more than it gives back,Costs slightly more than it gives back,About even,Saves me more than it costs,Genuinely saves me time and effort,TRUE
26,AI ORCHESTRATION INDEX,AI Orchestration Index,ai-use,FALSE,"Do you give AI clear roles, standards, and review — the way you'd manage a team?",defining what “good” looks like before it starts,Never,Tried it,Sometimes,Regularly — part of how I work,It's simply how I work,FALSE
27,AI ORCHESTRATION INDEX,AI Orchestration Index,pace,FALSE,"Are you keeping pace with how fast AI is changing, or falling behind?","trying new tools or models as they come out, vs. still using what you learned a year ago",Always behind,Usually behind,About even,Usually ahead,Always ahead of the curve,TRUE
